Season,EpisodeNumInSeason,EpisodeNumOverall,Title,DirectedBy,WrittenBy,OriginalAirDate,ProdCode,USViewers
1,1,0,Pilot,Ken Kwapis,Ricky Gervais & Stephen Merchant and Greg Daniels,2005-03-24,1001,11200000.0
1,2,1,Diversity Day,Ken Kwapis,B. J. Novak,2005-03-29,1002,6000000.0
1,3,2,Health Care,Ken Whittingham,Paul Lieberstein,2005-04-05,1006,5800000.0
1,4,3,The Alliance,Bryan Gordon,Michael Schur,2005-04-12,1004,5400000.0
1,5,4,Basketball,Greg Daniels,Greg Daniels,2005-04-19,1005,5000000.0
1,6,5,Hot Girl,Amy Heckerling,Mindy Kaling,2005-04-26,1003,4800000.0
2,1,6,The Dundies,Greg Daniels,Mindy Kaling,2005-09-20,2003,9000000.0
2,2,7,Sexual Harassment,Ken Kwapis,B. J. Novak,2005-09-27,2002,7130000.0
2,3,8,Office Olympics,Paul Feig,Michael Schur,2005-10-04,2004,8300000.000000001
2,4,9,The Fire,Ken Kwapis,B. J. Novak,2005-10-11,2001,7600000.0
2,5,10,Halloween,Paul Feig,Greg Daniels,2005-10-18,2006,8000000.0
2,6,11,The Fight,Ken Kwapis,Gene Stupnitsky & Lee Eisenberg,2005-11-01,2007,7900000.0
2,7,12,The Client,Greg Daniels,Paul Lieberstein,2005-11-08,2005,7500000.0
2,8,13,Performance Review,Paul Feig,Larry Wilmore,2005-11-15,2009,8000000.0
2,9,14,E-Mail Surveillance,Paul Feig,Jennifer Celotta,2005-11-22,2008,8100000.0
2,10,15,Christmas Party,Charles McDougall,Michael Schur,2005-12-06,2010,9700000.0
2,11,16,Booze Cruise,Ken Kwapis,Greg Daniels,2006-01-05,2013,8700000.0
2,12,17,The Injury,Bryan Gordon,Mindy Kaling,2006-01-12,2011,10300000.0
2,13,18,The Secret,Dennie Gordon,Lee Eisenberg & Gene Stupnitsky,2006-01-19,2014,8700000.0
2,14,19,The Carpet,"Victor Nelli, Jr.",Paul Lieberstein,2006-01-26,2012,8600000.0
2,15,20,Boys and Girls,Dennie Gordon,B. J. Novak,2006-02-02,2015,5420000.0
2,16,21,Valentine's Day,Greg Daniels,Michael Schur,2006-02-09,2016,8950000.0
2,17,22,Dwight's Speech,Charles McDougall,Paul Lieberstein,2006-03-02,2017,8400000.0
2,18,23,Take Your Daughter to Work Day,"Victor Nelli, Jr.",Mindy Kaling,2006-03-16,2018,8800000.0
2,19,24,Michael's Birthday,Ken Whittingham,Gene Stupnitsky & Lee Eisenberg,2006-03-30,2019,7800000.0
2,20,25,Drug Testing,Greg Daniels,Jennifer Celotta,2006-04-27,2022,7800000.0
2,21,26,Conflict Resolution,Charles McDougall,Greg Daniels,2006-05-04,2020,7400000.0
2,22,27,Casino Night,Ken Kwapis,Steve Carell,2006-05-11,2021,7600000.0
3,1,28,Gay Witch Hunt,Ken Kwapis,Greg Daniels,2006-09-21,3001,9110000.0
3,2,29,The Convention,Ken Whittingham,Gene Stupnitsky & Lee Eisenberg,2006-09-28,3006,7780000.0
3,3,30,The Coup,Greg Daniels,Paul Lieberstein,2006-10-05,3002,8890000.0
3,4,31,Grief Counseling,Roger Nygard,Jennifer Celotta,2006-10-12,3003,8830000.0
3,5,32,Initiation,Randall Einhorn,B. J. Novak,2006-10-19,3005,8460000.0
3,6,33,Diwali,Miguel Arteta,Mindy Kaling,2006-11-02,3004,8810000.0
3,7,34,Branch Closing,Tucker Gates,Michael Schur,2006-11-09,3007,8050000.000000001
3,8,35,The Merger,Ken Whittingham,Brent Forrester,2006-11-16,3008,8630000.0
3,9,36,The Convict,Jeffrey Blitz,Ricky Gervais & Stephen Merchant,2006-11-30,3010,9070000.0
3,10,37,A Benihana Christmas,Harold Ramis,Jennifer Celotta,2006-12-14,3009,8440000.0
3,12,38,Back from Vacation,Julian Farino,Justin Spitzer,2007-01-04,3011,8800000.0
3,13,39,Traveling Salesmen,Greg Daniels,Michael Schur & Lee Eisenberg & Gene Stupnitsky,2007-01-11,3012,10120000.0
3,14,40,The Return,Greg Daniels,Lee Eisenberg & Gene Stupnitsky & Michael Schur,2007-01-18,3013,10200000.0
3,15,41,Ben Franklin,Randall Einhorn,Mindy Kaling,2007-02-01,3015,10110000.0
3,16,42,Phyllis' Wedding,Ken Whittingham,Caroline Williams,2007-02-08,3016,8840000.0
3,17,43,Business School,Joss Whedon,Brent Forrester,2007-02-15,3017,8840000.0
3,18,44,Cocktails,J. J. Abrams,Paul Lieberstein,2007-02-22,3018,8300000.000000001
3,19,45,The Negotiation,Jeffrey Blitz,Michael Schur,2007-04-05,3019,6740000.0
3,20,46,Safety Training,Harold Ramis,B. J. Novak,2007-04-12,3020,7710000.0
3,21,47,Product Recall,Randall Einhorn,Justin Spitzer & Brent Forrester,2007-04-26,3025,7560000.0
3,22,48,Women's Appreciation,Tucker Gates,Gene Stupnitsky & Lee Eisenberg,2007-05-03,3021,7000000.0
3,23,49,Beach Games,Harold Ramis,Jennifer Celotta & Greg Daniels,2007-05-10,3022,7200000.0
3,24,50,The Job,Ken Kwapis,Paul Lieberstein & Michael Schur,2007-05-17,3023,7880000.0
4,1,51,Fun Run,Greg Daniels,Greg Daniels,2007-09-27,4001,9700000.0
4,3,52,Dunder Mifflin Infinity,Craig Zisk,Michael Schur,2007-10-04,4003,8490000.0
4,5,53,Launch Party,Ken Whittingham,Jennifer Celotta,2007-10-11,4005,8910000.0
4,7,54,Money,Paul Lieberstein,Paul Lieberstein,2007-10-18,4007,8500000.0
4,9,55,Local Ad,Jason Reitman,B. J. Novak,2007-10-25,4009,8980000.0
4,10,56,Branch Wars,Joss Whedon,Mindy Kaling,2007-11-01,4010,8390000.0
4,11,57,Survivor Man,Paul Feig,Steve Carell,2007-11-08,4011,8289999.999999999
4,12,58,The Deposition,Julian Farino,Lester Lewis,2007-11-15,4012,8860000.0
4,13,59,Dinner Party,Paul Feig,Gene Stupnitsky & Lee Eisenberg,2008-04-10,4013,9220000.0
4,14,60,Chair Model,Jeffrey Blitz,B. J. Novak,2008-04-17,4014,9810000.0
4,15,61,Night Out,Ken Whittingham,Mindy Kaling,2008-04-24,4015,7560000.0
